지표명,구분유형,sex,agegroup,값,단위,se,n,출처,대상,기간
EQ5D_통증문제,성별,1.0,,32.0,%,0.0077640192916413,4708.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별,2.0,,44.0,%,0.0070963578480017,6209.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,연령대,,19-29,20.8,%,0.0127963031036744,1308.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,연령대,,30-39,28.2,%,0.0125629901884685,1294.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,연령대,,40-49,38.0,%,0.0132805470412598,1772.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,연령대,,50-59,43.8,%,0.0133476002971087,2013.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,연령대,,60-69,45.1,%,0.0117706783963178,2325.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,연령대,,70+,53.3,%,0.0124976084880064,2205.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,1.0,19-29,17.3,%,0.0164366263812342,593.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,1.0,30-39,27.8,%,,582.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,1.0,40-49,35.5,%,0.0195060835997619,733.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,1.0,50-59,36.4,%,0.020372819678096,847.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,1.0,60-69,36.1,%,0.0179147091361097,998.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,1.0,70+,41.2,%,0.0172113966162743,955.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,2.0,19-29,24.7,%,,715.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,2.0,30-39,28.6,%,,712.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,2.0,40-49,40.6,%,0.0165207638062814,1039.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,2.0,50-59,51.2,%,0.0155126928616459,1166.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,2.0,60-69,53.7,%,0.0156333851915026,1327.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,성별×연령대,2.0,70+,62.1,%,0.015448440500969,1250.0,KNHANES 제9기,전국민,2022+2024
유산소신체활동실천율,전체,,,48.7,%,0.0057659738272998,15732.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별,1.0,,51.6,%,0.0077536757846554,6763.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별,2.0,,45.9,%,0.007292107599192,8969.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,연령대,,19-29,68.6,%,0.0119885402521859,1836.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,연령대,,30-39,57.4,%,0.0132139476017317,1845.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,연령대,,40-49,48.3,%,0.0116745495326759,2551.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,연령대,,50-59,45.7,%,0.010759589466186,2890.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,연령대,,60-69,41.6,%,0.0105717536361985,3467.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,연령대,,70+,28.4,%,0.0095435996404367,3143.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,19-29,72.0,%,0.0168189044031191,846.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,30-39,61.6,%,0.0181607389504129,826.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,40-49,47.9,%,0.0160974590501936,1055.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,50-59,46.0,%,0.015886261278405,1165.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,60-69,43.5,%,0.0147384632452367,1492.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,70+,33.2,%,0.0142327529211726,1379.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,19-29,64.7,%,0.0157255356617322,990.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,30-39,52.7,%,0.0174007659591866,1019.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,40-49,48.6,%,0.0150972452198416,1496.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,50-59,45.3,%,0.0144842129185908,1725.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,60-69,39.7,%,0.0127930570577426,1975.0,KNHANES 제9기,전국민,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,70+,24.9,%,0.0118157277784544,1764.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,전체,,,17.1,%,0.0041887097221426,16831.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별,1.0,,29.8,%,0.0068725425415266,7296.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별,2.0,,4.5,%,0.0028177066364378,9535.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,연령대,,19-29,17.9,%,0.0100736548760594,1915.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,연령대,,30-39,17.5,%,0.0102022711483807,1966.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,연령대,,40-49,21.9,%,0.0099066632698894,2739.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,연령대,,50-59,20.6,%,0.0088069161150145,3109.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,연령대,,60-69,15.1,%,0.0068289177105285,3689.0,KNHANES 제9기,전국민,2022+2023+2024
